Board_Name,Post_Count
AllTogether,147420.0
ask,71476.0
Baseball,115615.0
Beauty,28540.0
board_mean,79357.75510204081
board_std,198999.18278373175
Boy-Girl,56265.0
BuyTogether,85319.0
ChangHua,29864.0
Chiayi,22277.0
ChungLi,32783.0
Daliao,2621.0
FengYuan,19839.0
FongShan,16742.0
Food,99550.0
FuMouDiscuss,27041.0
Gossiping,1409650.0
happy,22252.0
Hate,324836.0
home-sale,39086.0
Hsinchu,64268.0
Hualien,24093.0
I-Lan,26191.0
iPhone,53996.0
Jinmen,9464.0
joke,68942.0
Kaohsiung,80398.0
Keelung,26271.0
Linyuan,2228.0
LoL,77427.0
Matsu,2174.0
MenTalk,54986.0
Miaoli,20645.0
movie,66264.0
Nantou,19441.0
NBA,48471.0
PH-sea,15110.0
PingTung,30430.0
prozac,30324.0
PuzzleDragon,23524.0
Sad,24899.0
Stock,33255.0
StupidClown,54648.0
TaichungBun,93828.0
TaichungCont,16656.0
Tainan,100273.0
Taitung,21255.0
Taoyuan,33302.0
ToS,43131.0
WomenTalk,147510.0
Yunlin,23950.0
