Buzzword,Num of Relations (Syntax),Relation Formula,Relation Tokens,Relation Types
token,1,0.3333333333333333,3,1
美女,37,5.6904833722946995,26522,4079
肥宅,44,5.8534754268419835,187013,24879
老公,39,4.46257816361175,46537,5325
網美,22,7.672597864768683,281,98
潮男,28,8.46043165467626,556,168
淑女,27,7.70479704797048,1626,464
帥哥,43,5.691293855578244,32322,4278
姑娘,23,4.7721276085392175,4169,865
小子,27,5.372818791946309,5960,1186
大媽,37,14.190411883862255,1481,568
型男,27,4.940150478796169,2924,535
美眉,22,5.35913140311804,3592,875
辣妹,29,6.488187588152328,5672,1269
男友,36,2.7086566023313585,235485,17718
婊子,38,8.428067700987306,5672,1258
人妻,29,8.370725034199726,731,211
大哥,34,7.780963935149443,18134,4150
熟女,30,8.714285714285715,1470,427
老婆,37,4.001186863120772,58979,6378
女神,36,5.897596492601582,25546,4185
太太,35,6.713234918526843,19577,3755
夥計,18,8.02547770700637,157,70
嬌娃,11,5.9230769230769225,39,21
人氣,42,13.801127025123268,8518,2799
大姊,38,11.292912040990606,2342,696
紳士,35,7.8938356164383565,4088,922
優質,42,9.699847792998478,9855,2276
色狼,30,9.993364299933644,1507,502
宅男,39,7.659009602711354,10622,2086
正妹,44,6.074276386011176,63708,8795
少年,32,4.408789675619114,20069,2765
君子,29,9.313071543840774,1859,597
女友,38,2.8478086682044434,164740,12346
