Buzzword,Relation_Formula,Relation_Tokens,Relation_Types,Relations
美女,6.271617761620359,15404,3019,32
淑女,9.425754060324826,862,325,25
優質,11.238670694864048,5627,1581,40
帥哥,7.143388516345348,19088,3171,43
辣妹,7.611926319075867,3203,903,27
人妻,11.112540192926044,311,128,27
女神,7.447371967654987,14840,2987,37
人氣,15.388429752066115,5082,2058,38
宅男,9.08151033862751,6674,1595,38
紳士,11.500254712175243,1963,645,35
嬌娃,4.5,10,9,5
正妹,7.7870235670643,37807,6691,44
肥宅,7.74061861289004,73390,12911,44
熟女,9.842857142857142,840,318,26
大媽,15.526881720430108,837,361,36
型男,6.262432594367885,1669,402,26
美眉,6.7890625,2304,711,22
