Token,Class,Before_2017_Cross_Month,After_2016_Cross_Board,Before_2016_Cross_board,2010_to_Board,2012_to_Board,2007_to_Board,2005_to_Board,2004_to_Board,2000_to_Board,2013_to_Board,2014_to_Board,2011_to_Board,2009_to_Board,2001_to_Board,2002_to_Board,2008_to_Board,2015_to_Board,2003_to_Board,2006_to_Board
淑女,l,0.521462143878,0.5344645371693214,0.5344645371693214,0.3902102297970451,0.6739994878312596,0.41399445031904736,0.6735600423157039,0.16114712123105426,,0.8216326842119085,1.5824333165689957,0.4106557308918605,0.3142097512755481,,,0.4192684775922624,1.6522634503386708,0.16114712123105426,0.43638846722587055
紳士,l,0.380749676652,0.40885211384313225,0.40885211384313225,0.19989406182247907,0.3761999950328769,0.468439492197554,0.2847761409989194,,,1.358807839641082,1.8603185442736692,0.4248915803749438,0.3497169008315925,,,0.5152567250945617,0.6600700474710848,,0.4837603449969794
嬌娃,l,0.380933960836,0.31419620346075544,0.31419620346075544,0.1814012626464256,,0.09473371976668096,,0.09473371976668096,,0.3208115858253169,0.4101705204755055,,,,,0.14051281384212078,0.37319780313777706,0.09473371976668096,0.14051281384212075
型男,s,0.457558837391,0.31536810659046416,0.31536810659046416,0.21896444217499764,0.4357436585616428,0.5337465946162598,0.09508706185503432,,,0.9176929876473316,1.1315135745428486,0.45000990897527693,0.35583917893470096,,,0.35583917893470096,1.9041897708850517,,0.2434795199931677
熟女,s,0.440118761861,0.29140146343371803,0.29140146343371803,0.4789043270265574,0.3972986282227068,0.2275463138214441,0.19076703768655984,,,1.3621653662551791,0.8092663161229787,0.3999447590982369,0.17572169410365662,,,0.2000198507378107,3.087443243845724,,0.18968619591327054
大媽,s,0.364460991724,0.2781945939130037,0.2781945939130037,0.08387882606497467,0.251636478194924,0.10911689714910973,0.08387882606497467,,,0.3245812156957537,0.7627894687098049,0.15073372313537553,0.08387882606497467,,,0.12441240459248508,1.0380027347396417,,0.08387882606497467
女神,s,0.417687302892,0.2881051287978885,0.2881051287978885,0.32086470718778803,0.4837102112281657,0.3528552789168272,0.0979766445744835,0.08686696476360113,,0.6145842156252793,1.2849500937982543,0.3604648352063562,0.12325622034810955,,,0.31496123248637337,2.0949045945736415,,0.26793232746190776
正妹,s,0.456181956717,0.24984504176822736,0.24984504176822736,0.6124656310658887,0.7599705557451698,0.3186394707153211,0.2729204545776269,0.14677480724573785,,0.827614497461572,0.939902829393209,0.3430909203914112,0.9430910711553534,,,0.7246400436086018,2.001537168448825,0.0979972879500458,0.6116516388195775
美女,m,0.481416067321,0.3217463134012356,0.3217463134012356,0.7368849157707629,1.1211134245385477,0.7997499803821618,0.2846450911870573,0.3195425455930947,,1.3832705446562168,2.0435043842054905,0.4337063369089362,0.4870985648924193,,,0.8061822984866527,3.1917099435487337,0.13267594306402195,0.5047625018917312
美眉,s,0.473664926254,0.2851085831616189,0.2851085831616189,0.334195877625852,0.3457449421016328,0.3225635400449111,0.15703525737354768,0.10041758766510042,,0.7405808308003219,0.8822579654585871,0.294192265008639,0.33734502496612584,,,0.2259216994012757,1.0914156945464328,0.10041758766510044,0.3792298670104364
帥哥,m,0.455163247814,0.362200860995264,0.362200860995264,1.3654094629525069,0.6304853013502771,0.5818534649930466,0.3992229142293571,0.163149297760768,,1.1477043849558235,1.9475956694081655,0.7808247842040579,1.5924442874852498,,,0.9784702134113046,3.1415264963485217,0.17507639434393898,0.479276601224093
肥宅,s,0.2939226181,0.16053344781105014,0.16053344781105014,,,,,,,0.2050625137646669,0.160363579433623,,,,,,0.7284087868460374,,
宅男,s,0.460102588721,0.2652540371130873,0.2652540371130873,0.3042672479321407,0.6363051829688953,0.4924134065720536,0.13941442671766113,,,0.42549797819033297,0.8886626555800429,0.4092382138099887,0.3759001111576045,,,0.3367375860603581,1.5396283585892516,,0.4257283277685882
優質,m,0.471914206682,0.4375428208160915,0.4375428208160915,0.8924278990988139,0.9582791882434488,0.8421813729966632,0.5402361739519199,0.18380474936946276,,1.850433523341912,2.4941438534683478,1.6560347174921508,0.8917232583886174,,,0.9814441089986624,2.099169669769606,,0.4990453439150537
人氣,m,0.450525974524,0.29198271398784803,0.29198271398784803,0.6854741442793258,0.6644938155915041,0.5460349075813408,0.4364844690869838,0.28435079211727443,,0.8252892077016609,1.8582255648759318,0.7099674512612844,0.7508961529265527,,,0.8080230232940211,3.0130237285944466,0.11452504278890907,0.5420393142142599
人妻,m,0.435964439601,0.26194914779839035,0.26194914779839035,0.21257243315713786,0.2760195998432941,0.2240615641739788,,,,0.3938305761072848,1.0729011375096795,0.3116087805585449,0.1639746282082795,,,0.1944468141369348,0.7750070252107577,,0.12706400057803474
辣妹,s,0.450890724471,0.27583010815153697,0.27583010815153697,0.3019073373694651,0.32789444760788794,0.2206057108808344,0.2195420277968658,0.1686957191088755,,0.8983044553448737,0.9909964939748944,0.20147656401832556,0.3063618156543995,,,0.216378939061707,1.134529192813908,,0.215387128160833
